borough,gross_monthly_rent,income
1,0287,999998
3,0399,006200
1,0540,006400
2,0406,028000
3,0375,007500
3,0220,007700
2,0509,029000
2,9999,025600
2,0870,084000
2,9999,065500
2,9999,035404
2,9999,048000
2,9999,999998
2,0455,027400
2,0250,014000
2,9998,999998
2,0747,020275
2,9999,006300
3,0454,016500
2,9999,999998
3,9998,999998
2,0168,999998
3,9998,999998
2,0636,014000
3,9998,999998
3,0345,014100
4,0577,050000
2,0162,006700
2,0633,025000
3,0922,022000
4,0337,999998
2,0409,009444
3,0419,007759
4,9999,036912
2,0202,007116
2,0487,013656
3,9998,026000
4,9999,999998
2,9999,037000
3,0495,043300
4,9999,030000
2,9999,999998
3,0455,022400
4,0820,047000
2,9999,999998
3,0486,030310
4,9999,054000
2,0465,005000
3,0800,032000
4,0950,025000
2,9999,050000
3,0301,999998
4,9999,010960
2,9999,029200
3,9999,016000
4,9999,050000
4,9999,018432
2,0625,099000
3,9998,999998
3,0523,022000
4,9999,016400
2,0748,999998
2,0448,030836
3,0429,012000
4,0153,999998
2,0620,049000
3,0290,013212
4,9998,999998
2,0252,004560
3,0405,006060
4,0807,021000
2,0760,020900
4,9998,080000
2,1063,074000
3,9999,999998
4,9999,999998
2,9999,090000
3,0685,027000
4,9999,018000
2,0484,023370
4,9999,022250
3,0467,010512
2,0548,054000
3,0785,999998
4,9999,012000
2,0883,013000
3,0480,030000
4,0532,061500
2,9999,009000
4,9999,079000
2,9999,075060
4,9999,108000
3,9998,999998
4,9999,023200
2,0463,018000
3,0650,105000
2,0435,026000
3,0542,023000
4,9999,028000
4,9999,999998
2,0873,039500
3,9998,999998
4,9999,999998
2,0616,027000
2,0454,047000
4,9999,054728
2,1000,999998
3,9998,999998
4,0605,009150
2,9999,070000
3,0650,028000
4,9999,084000
2,0550,016400
3,9998,999998
4,9999,013000
2,9998,005000
3,9998,999998
4,9999,999998
2,0510,065000
3,1222,999998
4,0565,999998
4,0440,040000
2,0725,999998
3,0520,999998
2,9999,021875
3,9998,999998
4,9999,011832
2,0475,999998
